Event ID,Event Name,End Date
03A3446,IFB Wildfire Fuel Reduction El Dorado Co,06/16/22 - 2:00 PM PD
03A3451,"Inductive Loop Repair in Butte, Colusa, El Dorado, Glenn, Nevada, Placer, Sacramento, Sutter, Yolo, and Yuba Coun",06/16/22 - 2:00 PM PD
03A3453,"Storm Water Pump Repair in Placer, Sacramento, Sutter, and Yolo Coun",06/16/22 - 2:00 PM PD
03A3469,"IFB Fencing Maintenance, Repair and Replacement Services in Sacramento Co",06/16/22 - 2:00 PM PD
03A3484,IFB Wildfire Fuel Reduction in El Dorado Co,06/23/22 - 2:00PM PD
04A6413,"IFB 04A6413, Plant Establishment, Treatment and Removal Services, Marin Co",06/21/22 - 2:00 PM PD
04A6426,"Pest Control Services in San Francisco, Alameda, Contra Costa, San Mateo, and Marin Count",06/16/22 - 2:00 PM PD
04A6427,IFB - Landfill Disposal Site Services in Santa Clara Co,06/16/22 - 2:00 PM PD
04A6441,"Tree and Stump Removal Service in Santa Clara, San Mateo, and San Francisco Coun",06/23/22 - 2:00 PM PD
04A6443,"IFB Trash Services in San Francisco, San Mateo, and Santa Clara Coun",06/23/22 - 2:00PM PD
05A2416,"IFB Trash and recycle pick-up, hauling, and disposal services in Santa Barbara Co",06/16/22 - 2:00 PM PD
05A2438,Vehicle Security Gate Replacement at the Caltrans San Luis Obispo District Office,06/16/22 - 3:00 PM PD
05A2455,Guardrail Repair and/or Replacement Services in Santa Cruz Co,06/23/22 - 2:00PM PD
06A2786,Potholing Agree,06/23/22 - 2:00PM PD
06A2834,Medical Services in Fresno Co,06/16/22 - 2:00 PM PD
06A2840,06A2840 Medical Services in Kern Co,06/23/2022 2:00PM PD
07A5406,Sump Pumps Removal and Installation Services - Los Angeles Co,06/16/22 - 2:00 PM PD
07A5433,IFG Guardrail Services in Los Angeles Co,06/23/22 - 2:00PM PD
08A3468,IFB Plumbing Services in Riverside Co,06/16/22 - 2:00 PM PD
08A3498,"IFB Trash Collection, Hauling and Disposal Services in San Bernardino Co",06/21/22 - 2:00 AM PD
10A2419,"IFB Trash Pick-up, Hauling and Disposal in Stanislaus Co",06/23/22 - 2:00PM PD
10A2420,Unarmed Security Guard Services in Stockton,06/23/22 - 2:00PM PD
11A3411," IFB Habitat Restoration Maintenance Services, San Diego Co",06/16/22 - 2:00 PM PD
11A3502,Multi-provider Title and Escrow Services for Imperial and San Diego Coun,06/23/22 - 2:15 PM PD
11A3503,IFB-Wastewater Maintenance and Service in Imperial Co,06/21/22 - 2:00 PM PD
11A3510,IFB - Trash Services in Imperial Co,06/16/22 - 2:00 PM PD
11A3519,IFB Battery System Preventative Maintenance Service in San Diego Co,06/21/22 - 2:00 PM PD
11A3525,"IFB On-call, as-needed, Rental of Fully Operated Sweepers in San Diego Co",06/21/22 - 2:00 PM PD
12A2003,"IFB Fencing Maintenance, Repair and Replacement Services in Orange Co",06/23/22 - 2:00PM PD
22A1148,Equipment Appliance Service and Repair - Sacram,06/16/22 - 2:00 PM PD
59A1200,IFB 59A1200 Routine Calibration and Verification Services for Caltrans Testing Equip,06/23/22 - 2:00 PM PD
74A1319,Planning Public Engagement Contract 6 (PPE,07/07/22 - 1:00 PM PD
88A0145,On-the-Job Training/Supportive Serv,06/16/22 - 2:00 PM PD
